"beskæftiget" "udlænding" "understøttelse" "alder" "uddannelse" "yngre.børn" "skole.børn"
"nej" "nej" 10.787497 30 8 1 1
"ja" "nej" 10.524251 45 8 0 1
"nej" "nej" 10.968578 46 9 0 0
"nej" "nej" 11.104999 31 11 2 0
"nej" "nej" 11.10847 44 12 0 2
"ja" "nej" 11.028254 42 12 0 1
"nej" "nej" 11.454707 51 8 0 0
"ja" "nej" 10.490918 32 8 0 2
"nej" "nej" 10.62474 39 12 0 0
"nej" "nej" 10.48642 43 11 0 2
"nej" "nej" 10.660618 45 11 0 2
"nej" "nej" 10.467589 60 12 0 0
"nej" "nej" 11.229592 33 11 2 0
"nej" "nej" 11.906462 56 14 0 0
"nej" "nej" 11.501562 56 11 0 0
"nej" "nej" 11.293492 47 11 0 1
"nej" "nej" 10.861253 50 8 0 0
"ja" "nej" 11.844049 39 12 0 0
"nej" "nej" 11.048627 47 8 0 1
"ja" "nej" 10.957795 53 11 0 0
"nej" "nej" 10.860134 29 19 0 0
"ja" "nej" 11.108121 46 11 0 1
"nej" "nej" 10.84862 44 8 0 2
"nej" "nej" 10.482397 20 12 1 0
"ja" "nej" 10.48404 54 8 0 0
"ja" "nej" 10.601204 47 8 0 0
"nej" "nej" 10.540632 28 9 2 0
"nej" "nej" 11.224276 47 8 0 1
"ja" "nej" 10.841085 49 12 0 0
"nej" "nej" 10.566288 30 11 0 1
"nej" "nej" 11.769593 51 11 0 0
"nej" "nej" 10.667089 28 11 0 2
"nej" "nej" 10.624627 54 11 0 0
"nej" "nej" 10.537148 49 8 0 0
"nej" "nej" 11.135636 53 10 0 0
"nej" "nej" 10.315332 55 8 0 0
"nej" "nej" 10.372655 24 11 1 0
"nej" "nej" 11.507138 50 8 0 1
"ja" "nej" 11.156561 36 13 0 2
"nej" "nej" 10.452933 23 9 1 0
"ja" "nej" 11.106286 41 12 0 2
"nej" "nej" 10.657185 23 10 0 1
"nej" "nej" 10.518618 38 10 0 2
"nej" "nej" 10.699437 53 12 0 0
"nej" "nej" 9.668874 45 12 0 1
"nej" "nej" 10.922165 37 12 0 2
"nej" "nej" 11.249361 36 15 2 0
"nej" "nej" 10.051168 46 12 0 0
"nej" "nej" 10.621104 31 10 1 1
"ja" "nej" 10.644639 42 10 0 2
"nej" "nej" 10.419983 22 10 1 0
"ja" "nej" 10.466988 32 8 0 1
"ja" "nej" 10.478207 34 9 0 2
"ja" "nej" 10.435452 44 9 0 1
"ja" "nej" 10.427258 58 12 0 0
"ja" "nej" 10.471779 44 9 0 2
"nej" "nej" 11.138516 55 9 0 0
"nej" "nej" 10.31886 23 11 2 0
"nej" "nej" 10.305638 60 15 0 0
"nej" "nej" 10.864139 50 10 0 2
"nej" "nej" 10.465655 59 9 0 0
"nej" "nej" 10.2239 35 9 0 2
"nej" "nej" 12.019113 61 13 0 0
"ja" "nej" 11.411158 40 13 0 2
"nej" "nej" 10.51476 24 11 1 0
"ja" "nej" 10.493266 35 4 0 2
"ja" "nej" 10.71857 31 10 1 1
"nej" "nej" 11.33689 61 12 0 0
"ja" "nej" 10.814724 55 10 0 1
"nej" "nej" 10.316425 20 9 1 0
"nej" "nej" 11.096651 31 15 1 0
"ja" "nej" 10.47289 35 9 0 2
"nej" "nej" 10.588166 55 8 0 0
"nej" "nej" 11.584711 35 11 1 2
"nej" "nej" 10.618983 44 17 0 4
"ja" "nej" 10.517572 56 9 0 0
"nej" "nej" 10.825584 34 10 0 2
"ja" "nej" 10.909947 43 8 0 0
"ja" "nej" 10.363575 24 12 0 0
"ja" "nej" 9.646148 54 8 0 0
"nej" "nej" 10.157078 34 8 0 4
"ja" "nej" 10.279822 52 7 0 2
"nej" "nej" 10.571089 34 8 1 3
"nej" "nej" 10.763515 21 9 2 0
"ja" "nej" 10.540896 34 10 0 0
"nej" "nej" 10.654575 22 9 1 0
"nej" "nej" 10.852278 36 8 0 3
"nej" "nej" 10.28561 32 10 1 3
"nej" "nej" 11.338939 44 13 0 4
"ja" "nej" 11.235833 49 12 0 2
"nej" "nej" 10.471702 49 14 0 2
"nej" "nej" 10.787214 45 10 0 3
"nej" "nej" 10.599964 28 10 1 1
"nej" "nej" 10.280773 36 8 0 3
"nej" "nej" 10.840751 50 8 0 2
"nej" "nej" 11.052507 48 8 0 5
"nej" "nej" 10.65334 45 7 0 2
"nej" "nej" 10.338464 62 7 0 0
"nej" "nej" 10.708192 33 12 2 0
"ja" "nej" 10.348194 48 8 0 0
"ja" "nej" 11.021232 38 10 0 3
"ja" "nej" 10.605906 46 7 0 1
"ja" "nej" 10.649509 38 10 0 1
"ja" "nej" 10.386903 56 7 0 0
"ja" "nej" 10.741169 39 13 0 3
"nej" "nej" 10.541059 28 10 2 0
"nej" "nej" 11.081039 46 10 0 3
"ja" "nej" 10.771101 27 10 0 0
"nej" "nej" 12.285946 58 12 0 0
"nej" "nej" 10.778364 27 12 2 0
"nej" "nej" 10.669682 52 10 0 0
"ja" "nej" 10.784824 31 9 0 3
"ja" "nej" 11.269807 35 11 0 2
"ja" "nej" 11.34666 34 12 0 1
"ja" "nej" 10.825946 57 4 0 0
"nej" "nej" 11.013918 44 10 0 2
"nej" "nej" 9.574635 56 7 0 1
"ja" "nej" 10.528624 34 4 0 3
"ja" "nej" 10.741468 27 16 1 0
"nej" "nej" 10.75483 44 9 0 3
"ja" "nej" 10.830751 33 12 2 0
"nej" "nej" 10.490775 52 9 0 2
"nej" "nej" 10.363387 26 8 1 0
"nej" "nej" 10.812684 28 9 0 2
"nej" "nej" 10.763303 46 8 2 1
"ja" "nej" 10.700171 42 9 0 2
"nej" "nej" 10.446508 24 6 1 0
"ja" "nej" 10.449971 21 8 0 0
"nej" "nej" 10.663366 58 4 0 0
"ja" "nej" 10.925736 47 8 0 4
"nej" "nej" 10.865444 37 8 0 2
"ja" "nej" 11.41671 31 11 1 0
"ja" "nej" 10.819836 57 8 0 0
"ja" "nej" 10.963413 38 9 0 2
"nej" "nej" 9.263988 22 13 1 0
"ja" "nej" 10.74062 40 8 0 2
"nej" "nej" 11.329038 40 11 0 1
"ja" "nej" 11.175732 35 9 0 2
"nej" "nej" 11.1317 37 9 0 2
"ja" "nej" 10.666515 54 12 0 0
"nej" "nej" 11.086339 52 10 0 0
"ja" "nej" 10.569454 31 11 0 2
"nej" "nej" 11.03635 46 10 0 2
"nej" "nej" 10.740618 44 6 1 1
"nej" "nej" 10.620524 25 10 1 0
"nej" "nej" 10.871253 27 9 1 0
"ja" "nej" 10.664763 45 9 0 1
"nej" "nej" 11.86487 31 15 0 2
"ja" "nej" 10.639207 31 13 0 2
"ja" "nej" 10.665111 34 14 0 2
"ja" "nej" 10.937405 37 11 0 2
"ja" "nej" 11.115698 51 8 0 0
"nej" "nej" 10.392553 52 9 0 0
"nej" "nej" 10.916087 34 8 0 2
"ja" "nej" 10.530598 45 11 0 2
"ja" "nej" 11.049862 26 14 1 0
"nej" "nej" 10.961591 40 9 0 1
"nej" "nej" 10.782629 44 10 0 2
"nej" "nej" 10.893155 28 13 2 0
"nej" "nej" 10.637464 41 8 1 3
"nej" "nej" 10.804152 58 10 0 0
"nej" "nej" 10.881099 35 10 0 1
"nej" "nej" 11.995501 56 12 0 0
"ja" "nej" 11.216231 40 13 0 4
"nej" "nej" 10.510004 34 9 1 1
"nej" "nej" 10.459609 29 14 1 1
"ja" "nej" 10.763969 37 13 0 2
"ja" "nej" 10.755772 26 12 0 0
"nej" "nej" 10.689363 43 8 0 3
"ja" "nej" 11.065612 38 9 0 3
"ja" "nej" 10.693192 47 8 0 1
"nej" "nej" 10.604953 53 8 0 3
"nej" "nej" 10.401214 54 8 0 0
"nej" "nej" 10.61778 39 11 2 0
"ja" "nej" 10.833661 34 10 0 0
"nej" "nej" 10.02621 54 8 0 1
"nej" "nej" 10.746228 31 9 2 0
"nej" "nej" 10.933002 35 8 0 4
"ja" "nej" 10.84025 37 12 1 1
"nej" "nej" 10.714731 40 8 0 2
"nej" "nej" 10.612391 24 8 2 0
"nej" "nej" 11.07683 33 12 1 0
"ja" "nej" 11.128016 49 9 0 3
"nej" "nej" 10.522886 30 12 0 2
"nej" "nej" 10.659896 61 9 0 0
"nej" "nej" 11.733083 32 13 2 1
"nej" "nej" 10.91997 39 8 0 5
"nej" "nej" 10.514121 40 8 0 2
"nej" "nej" 11.069464 27 10 0 2
"nej" "nej" 10.619196 20 9 1 0
"nej" "nej" 10.562078 43 11 0 2
"ja" "nej" 10.905702 32 13 1 1
"nej" "nej" 10.95099 34 11 0 2
"ja" "nej" 10.50612 46 8 0 2
"nej" "nej" 11.047871 44 5 0 1
"nej" "nej" 10.574165 36 8 0 3
"ja" "nej" 11.193011 45 12 0 2
"nej" "nej" 10.984266 33 12 1 0
"nej" "nej" 11.334915 55 4 0 0
"nej" "nej" 10.851937 36 12 0 2
"ja" "nej" 10.404555 37 8 0 0
"nej" "nej" 10.988086 39 11 0 2
"nej" "nej" 10.864314 53 8 0 0
"nej" "nej" 10.523238 22 9 1 0
"nej" "nej" 10.820928 33 12 0 2
"ja" "nej" 10.162354 40 10 0 0
"nej" "nej" 11.198758 57 12 0 0
"nej" "nej" 11.225668 29 10 1 2
"ja" "nej" 10.893887 47 8 0 0
"ja" "nej" 10.641333 41 10 0 0
"nej" "nej" 10.850221 41 8 0 2
"ja" "nej" 10.660521 31 12 0 0
"nej" "nej" 11.349021 43 12 0 1
"nej" "nej" 11.242483 51 8 0 1
"ja" "nej" 11.159617 36 10 0 2
"ja" "nej" 10.911874 39 10 0 1
"ja" "nej" 10.507997 30 8 0 2
"nej" "nej" 10.975945 30 21 2 0
"nej" "nej" 10.368614 24 2 0 0
"nej" "nej" 10.567141 49 8 0 1
"nej" "nej" 10.445417 49 9 0 0
"nej" "nej" 10.518592 30 8 0 2
"ja" "nej" 10.700863 40 9 0 4
"nej" "nej" 10.596668 44 6 0 0
"nej" "nej" 11.197492 29 13 1 1
"nej" "nej" 10.939767 28 13 1 0
"ja" "nej" 10.557954 43 10 0 1
"nej" "nej" 10.75464 29 10 2 2
"ja" "nej" 10.464695 44 7 1 1
"nej" "nej" 10.954447 42 12 0 3
"ja" "nej" 10.800645 45 8 0 6
"nej" "nej" 9.774489 57 8 0 1
"nej" "nej" 11.043071 51 8 0 0
"ja" "nej" 10.949314 44 11 0 1
"nej" "nej" 10.015288 55 7 0 2
"nej" "nej" 11.499515 55 14 0 0
"ja" "nej" 10.606732 48 10 0 1
"nej" "nej" 10.647289 45 9 0 3
"nej" "nej" 10.513616 54 11 0 0
"nej" "nej" 11.226845 56 12 0 0
"ja" "nej" 10.698781 33 13 2 0
"nej" "nej" 10.873052 40 10 0 3
"nej" "nej" 10.518034 54 7 0 2
"nej" "nej" 10.398972 56 4 0 0
"nej" "nej" 11.12097 40 9 0 2
"ja" "nej" 10.160162 42 8 0 3
"nej" "nej" 11.189876 50 14 0 1
"ja" "nej" 10.580379 49 9 0 0
"nej" "nej" 10.807338 58 8 0 0
"ja" "nej" 9.761367 58 8 0 0
